Age,Gender,Driving_Experience,Vehicle_Type,Previous_Accidents,Region,Annual_Mileage,Premium,Accident
44,1,27,0,0,0,13540.28349029519,603.2678078957049,1
76,1,59,1,0,1,19910.122804494236,572.0131853218217,1
80,0,64,0,0,0,15647.388616084449,508.11970858996784,1
59,0,41,1,0,0,11337.22658837216,455.82043882452837,0
45,1,28,2,0,1,16660.398029796237,443.9367957957899,1
77,1,59,1,0,0,12713.376447611508,627.5975958834302,0
33,1,16,3,0,1,12437.056645029985,304.7194180255987,1
32,1,12,0,1,1,20913.24264247828,405.082179998614,0
79,1,59,1,0,1,14203.1685702378,490.41698079205054,0
79,1,63,1,0,0,25672.97775711122,300.568120079904,1
64,1,48,1,0,0,18676.32189927729,478.20480642702955,0
79,1,61,1,0,1,11171.108583449839,377.3037221031324,0
68,1,51,1,0,1,10827.855082892482,547.4792524230241,1
61,0,42,1,0,0,8796.200911815375,442.68060873317495,0
72,1,56,1,0,1,18029.714355890712,460.027205508916,0
69,0,50,3,0,0,10716.923863441225,435.6953297850734,1
74,0,55,3,0,0,5000.0,567.622258878827,0
20,1,3,0,0,1,6742.820980942701,493.1088581735854,1
54,1,36,0,0,1,9479.303118989143,594.6053570131454,1
68,0,51,2,0,1,16684.267080569687,620.7958175954818,1
24,0,8,3,0,0,14586.884010689222,471.2955827740051,1
38,1,19,0,0,0,19714.210876662444,430.28916913750516,1
26,0,9,0,0,0,10464.04688101002,458.1047243003719,1
56,1,39,3,0,0,13378.21408701481,766.182371516885,0
35,1,18,2,0,1,23736.667302702477,438.2521162339784,1
21,1,5,0,0,0,13294.10451087588,482.5264444390586,1
42,0,24,1,0,1,16122.272518210013,521.4463735905185,1
77,0,60,3,0,0,11718.527409568349,554.6568652411917,1
31,1,15,2,0,0,13872.281538040252,510.3367606535968,1
67,0,48,2,0,1,17376.340610573396,677.394157855675,1
75,0,55,2,0,0,18285.4676136411,523.5968740528721,0
26,0,10,0,0,1,15590.645770417972,485.0716060379766,1
43,0,23,2,0,0,13700.822312543982,595.5878797643538,0
70,0,53,0,0,1,15651.02940612503,411.33688200893664,1
19,0,2,3,0,0,11319.357148114304,553.91942979588,1
37,0,21,0,0,0,13922.511112694496,462.91767826968425,1
45,1,25,2,0,1,16661.697014171794,628.5639918670156,1
64,0,47,0,0,1,19934.95841233266,636.2622559749319,0
77,0,58,1,0,1,10442.414855218936,482.59124631224034,0
24,0,6,0,0,0,14113.993800369944,412.961143235028,1
61,0,43,1,0,0,9974.591149069576,313.77773301011484,0
78,0,61,2,0,0,12777.786044936714,522.5210485256727,0
25,0,5,2,0,0,20002.520885655886,286.73708421519376,1
64,0,47,1,1,0,12317.366994130029,491.49569880898486,1
52,0,32,0,0,0,14520.023669053702,443.90398964715666,1
31,1,12,3,0,1,8816.03230064089,555.80614032509,1
34,0,14,2,0,0,12194.396900916148,498.6358925912598,1
53,0,36,2,0,0,7258.158482826482,443.3654823202995,1
67,0,48,2,0,1,16393.662135995903,584.9070022769267,1
57,0,41,2,0,1,16840.46752892875,390.8702696643575,1
21,1,3,1,0,1,16684.445554596397,556.3075971555111,1
19,1,2,2,0,1,17005.511844012857,706.2175936096301,1
79,1,62,1,0,1,16693.56653751176,596.5571615118092,1
23,1,6,2,0,0,7368.55284472404,459.4556089497375,1
71,1,52,2,0,0,11061.074266543252,398.1676358294185,1
59,1,43,0,0,1,5000.0,593.4659468226628,0
21,1,1,0,0,1,12682.127766166961,377.5689519988581,0
71,1,55,0,1,0,10646.341786347712,500.60147622797575,1
46,1,27,0,0,1,14806.559356555144,572.4508918394105,1
80,1,63,1,0,0,27297.31324041819,399.10491755989085,0
35,1,17,2,0,0,18911.387395977323,393.58667368945214,1
43,1,26,0,0,1,22647.89725517187,368.2129438907485,1
61,1,41,1,0,0,19107.07535273313,659.4490906722336,1
51,1,33,3,0,0,14499.624862295233,669.850807408967,1
27,1,10,2,0,0,14951.498814673272,668.36181802116,1
79,1,61,1,0,0,19322.926219591543,681.741929060031,0
53,0,37,2,0,1,16241.75498934818,436.6964942838305,1
31,1,12,1,0,1,13560.195992374618,318.7335183603294,1
48,0,31,0,0,1,22132.327177369174,670.3247607889081,1
65,1,45,0,0,1,17223.651329237644,592.9177168319314,1
32,1,16,0,0,1,7874.1451043314455,584.8776634668677,1
25,0,8,0,0,0,14098.15378370724,395.99788513392923,0
31,1,15,3,1,0,15251.188442630522,509.705098582278,1
40,0,20,2,0,0,12978.155908911578,515.9267022565804,1
77,0,60,1,0,0,13074.197638180633,493.68617537634884,1
74,0,54,1,0,1,12913.596352151613,414.9737681975297,1
79,1,61,0,0,1,6076.4731246150095,309.90826679479267,1
57,1,37,2,0,0,5187.3325864352155,424.7335841762781,0
38,1,20,2,0,1,11733.033694733162,212.8534011522686,1
33,0,16,0,0,0,12997.516309869747,458.7121401203874,1
62,0,44,0,0,0,8303.522291922985,438.5001683134668,0
35,1,18,1,0,1,9878.861371819115,383.22743584608185,0
64,1,47,1,1,1,13734.353148974911,540.0865935398251,1
70,1,51,1,0,1,20155.292732049405,465.66287159279784,0
41,1,24,1,0,0,19826.496823569505,472.88450420430615,1
43,1,25,1,0,1,19994.096036240262,639.0991375400429,0
42,0,23,0,0,0,9948.377423107133,467.8925557840562,1
77,0,58,0,0,1,13888.587760694732,545.3764122749419,0
77,0,60,1,0,0,21178.215404082428,391.68782259906004,0
77,1,57,2,0,1,6176.54282415534,525.5432955580682,1
62,0,42,3,0,0,12702.756447340818,489.7448878512599,1
58,0,39,2,0,0,16110.836704970026,509.2552538486783,1
46,0,29,2,0,1,6474.351765340603,377.51526778609605,1
32,0,12,1,0,0,17144.302451628166,387.0261404513464,0
62,0,45,1,0,1,22734.96537289814,465.3828380101906,1
18,1,1,3,0,1,21122.923707948554,633.0639201061709,1
42,0,23,0,0,1,14111.218368202924,355.9738959977565,1
24,1,5,1,0,0,19071.97514739427,668.0513765465408,0
26,1,10,1,0,1,6418.349347656118,429.34523059905456,1
41,1,21,1,0,0,16391.764281234664,508.3090080318656,0
18,1,0,0,0,1,13476.628315725995,600.2602209116415,1
61,1,41,1,0,1,14252.824502869313,464.43359973799534,0
25,0,7,2,0,0,15519.15013764334,475.6382726053101,0
41,0,24,1,0,0,16938.1593100212,644.6520115422653,0
80,1,61,2,1,1,7739.552594431302,609.6625279554353,0
28,1,8,0,1,0,10097.71371088376,570.06307524355,1
68,1,52,3,0,1,13718.693465044826,485.4033829238844,1
34,0,14,1,0,0,6106.694398197538,492.3591451770523,1
25,1,8,1,0,0,15686.247014413666,392.7696294368208,0
52,0,35,0,0,1,19163.591224715256,471.5866316155827,0
52,1,33,0,0,0,21960.714131269124,506.73821164630385,1
50,0,32,1,0,1,15482.098151721242,496.64090497423217,1
76,1,57,1,0,1,24431.925043249816,529.6100098325128,0
22,0,2,1,0,0,14824.78132790117,611.1474453343437,1
59,1,43,0,0,1,8716.058557434355,348.8633589965772,0
56,0,37,2,0,0,14720.230694718213,436.6752131947305,0
75,0,57,2,0,0,13971.635640124285,614.4444139546932,1
58,0,39,0,0,1,17580.788183368768,746.6206082669698,1
45,0,28,1,0,0,16353.130092125584,392.62786603988957,0
24,0,4,2,0,1,15996.372062587778,437.4627636639904,1
26,0,6,1,1,1,19834.550797026364,369.1364406404767,1
25,0,5,0,0,0,12850.208641536341,296.3456056575417,1
29,1,9,1,0,0,17693.622601935247,527.4482405236865,1
51,1,31,0,0,1,16404.332596021315,559.4243526794202,1
50,1,30,0,0,1,15569.727253226521,470.0371126825002,0
65,1,49,0,1,1,14671.475938472975,470.9444592877494,0
72,1,54,1,1,0,8643.597280878745,488.88917148433273,1
40,0,20,0,0,0,13730.436822003381,443.1384805678121,0
79,0,61,3,0,1,14051.030674837859,495.6420216233074,1
41,0,21,0,0,0,11386.376550219062,638.6893027988108,1
54,0,35,0,0,1,8210.57494253258,417.2619556575823,1
52,0,32,1,1,0,12217.376460512407,471.69576318007006,0
61,1,44,0,1,1,12632.873301416388,487.2355597076719,0
57,1,41,1,0,1,8298.438655395472,443.2496576934801,1
39,1,20,0,0,1,8293.209077378917,506.79256433194456,1
44,1,25,0,0,1,5000.0,250.0040689396184,0
52,0,35,0,0,1,16475.365860902893,557.2914048291722,1
18,0,0,1,1,1,19890.18402542972,402.77947927720356,1
52,0,36,0,0,0,15080.51122990976,415.9353427272077,1
54,1,35,2,0,1,12978.426782367915,483.25041265876246,1
64,0,48,1,0,1,8049.955679218727,361.030269379692,1
31,1,12,1,0,1,5000.0,633.1206266181086,1
20,0,0,1,0,1,14835.132731739313,417.6153068851669,0
18,0,0,1,0,1,18078.342220727765,763.2691479462288,1
22,1,3,3,0,0,10837.957630461657,563.0200210519579,1
43,0,25,0,0,1,20277.048574461507,443.1706135019424,1
72,0,52,0,0,1,11555.559507497868,469.3602858287067,1
80,1,63,0,0,1,20424.991414268392,514.8591072347041,1
31,0,14,0,0,1,11096.02023126755,669.8720454019233,1
56,1,36,0,0,0,5000.0,595.0286236892509,1
44,0,27,1,0,0,18131.7785304331,587.5254448887338,0
26,0,6,1,1,1,10385.767100522491,469.4429372069584,1
32,0,15,3,0,1,7287.680046252428,443.30735807979994,1
32,0,14,0,0,0,17407.965075636705,563.7405008728354,1
43,0,26,0,0,1,10553.149798464488,633.3570539925672,1
59,0,40,3,0,0,7935.500474588169,486.19703297545607,1
77,0,57,2,0,1,21557.045978269976,431.5329554851704,1
30,0,14,1,0,0,13976.25986071761,396.6704369339974,1
68,1,52,1,1,0,7824.537878990318,332.6491987271846,1
80,1,60,2,0,1,12684.360231462571,455.3193539817379,0
49,0,31,1,0,1,25662.815443134044,474.56101283454086,0
56,0,39,0,0,1,15561.80270839785,497.99360299483453,1
66,1,48,2,0,1,11790.772594774113,554.1639262094997,1
69,0,53,1,0,0,17506.88297868575,453.1232238281934,0
78,0,58,0,0,0,12728.305754054014,679.5284497760738,1
49,1,29,1,0,1,12452.962498432229,386.1305491479788,1
21,0,3,1,0,0,11718.15733677012,568.2769879622459,1
47,0,29,2,0,1,19269.744782665177,378.0441898824335,0
54,1,37,0,0,1,15973.772036069475,414.95445436675567,1
40,0,21,2,1,1,22111.219195658858,528.1000799627991,1
56,0,37,1,0,0,16534.426594790828,604.3674365651493,1
62,1,45,1,0,1,22638.00190099897,472.04565537525065,1
32,0,13,0,0,0,18250.433185550966,508.4613973567765,1
60,1,44,2,0,1,13700.258489647393,626.2732291029324,0
46,0,27,3,0,0,14323.121942333215,377.7856206633545,1
53,0,36,0,0,0,24139.36058586878,576.9882735627236,0
30,1,11,0,0,0,21519.08625752577,431.09341442676794,0
49,1,29,1,0,0,22733.789175996462,524.3095779430985,0
24,0,6,2,0,1,9962.74895966578,553.9736504582128,1
76,1,60,0,0,0,5624.155666360981,382.4257035430602,1
68,1,48,1,0,0,10784.166720915855,425.3439949440892,1
39,0,19,1,0,1,15827.412164039357,566.5857857284727,1
45,0,28,0,0,0,11772.187892414371,473.98894245859464,0
19,0,1,1,0,1,15137.042636516333,428.6338410906363,1
59,1,41,0,0,0,12743.948456317674,519.4732252801612,0
62,1,46,2,0,1,6176.504080885843,392.0582298089016,1
79,1,62,1,0,0,17144.47926979056,381.73592960283486,1
74,1,58,1,1,0,15154.336872724083,261.16243273625093,1
70,0,51,0,0,0,21646.762120369072,535.9789962284387,1
23,1,3,0,0,0,15799.278762192615,503.1992076014546,1
45,0,29,2,0,1,18913.250231748174,554.0590098821729,0
45,1,25,1,0,0,10903.645138838863,622.1859250482062,0
61,0,44,1,0,1,16735.040863394715,475.8688545486409,1
61,0,42,1,0,1,19042.895321952878,493.04561955750086,0
37,0,20,1,0,1,17781.826944873374,534.3211704567532,1
47,1,28,0,0,1,13867.258668775155,442.9922554748191,1
79,0,60,0,0,0,16752.249056251512,354.22909771688603,1
28,0,8,0,0,0,18113.734412390077,384.83953789734295,1
75,1,58,2,1,0,21006.942857760965,496.01831929252995,1
72,0,55,0,0,0,12194.422549308747,599.9791285060237,0
45,1,29,0,0,0,9415.89934334801,656.7323692698477,0
42,1,25,2,0,0,10843.441372671728,471.52972094697094,0
56,0,40,0,0,1,15727.00757284284,516.7846095010602,0
79,0,61,1,0,1,15021.955487017629,687.0806978918614,0
50,1,32,0,0,0,18136.587145588088,551.6820915751103,1
18,0,0,0,0,0,19153.883723055143,513.7217724022183,1
74,1,57,1,0,0,5573.975744051237,521.0159056777921,0
44,1,27,0,0,1,12594.634215718292,558.1961282878989,0
79,1,63,2,0,0,16061.168897905809,377.9700844880445,1
74,0,55,1,0,0,20575.894281943012,576.0542863031933,1
69,1,53,0,0,0,14733.097257888794,543.9116089614257,1
30,0,12,0,0,1,21827.259725623564,608.8237080388725,1
58,0,42,1,0,1,17756.898475264923,549.4121506670749,0
20,0,1,0,0,0,16903.880492847315,602.124854702998,1
56,0,39,0,0,1,14448.878936431991,407.7124335155852,1
23,1,7,1,0,1,14876.94593014229,440.3569815058682,1
25,0,7,2,0,1,16653.91283048527,515.27069750151,1
44,1,26,1,0,0,14023.100980360352,424.87898465767904,1
26,1,9,2,0,0,20562.807962985204,585.5486325018559,0
79,0,63,2,0,1,19397.888986444537,358.44625111294255,1
54,1,35,0,0,1,20989.97490648599,484.0405172990672,1
50,1,33,2,0,1,9800.51027157281,443.35058336958025,1
68,0,52,2,0,0,9636.293662314758,425.7578941773985,1
59,1,39,0,0,1,17439.521834265863,362.90126773978915,1
61,1,43,3,1,1,14596.918473695929,504.1800471911222,1
41,1,22,0,0,0,16294.203540634571,491.68924745334596,1
32,1,13,0,0,1,9412.899612996072,690.4385080330151,1
76,0,57,2,0,1,7710.1645390632175,748.7920407234893,0
71,1,53,1,0,0,16162.900356468897,393.20327213830734,1
49,1,33,0,0,1,11200.57584864093,309.6985595964904,1
49,1,32,0,1,1,18570.52966172908,379.9342172089835,1
41,1,25,2,0,1,11923.14328719399,493.8140359941572,0
58,0,41,2,0,1,10562.636111056338,612.5170849878899,1
69,1,50,1,0,0,5000.0,451.85377080565115,1
66,0,50,3,0,0,21237.732701572353,557.8277803837491,1
79,1,60,0,0,0,18487.75224438966,420.0959219254591,0
66,0,46,0,0,1,7521.512738327986,451.2877555837415,0
75,0,56,1,0,0,5012.7182291861645,516.6796621074323,1
69,0,50,2,0,0,12014.616691377227,498.88653576428095,0
29,0,12,0,0,1,19736.605198515495,496.3941626682435,1
79,0,59,0,0,0,12364.579781693055,391.82010039215214,1
56,1,37,2,0,1,13964.416917512446,622.5893808477513,0
19,1,0,3,0,1,19952.931226570367,621.8331414060242,0
20,1,0,1,0,1,10058.659445887006,623.5084267028379,1
66,0,46,0,0,0,11589.418320313229,432.2775648970274,1
54,1,38,3,0,0,16097.9287867067,511.93902157378494,1
66,0,49,2,0,1,13599.040162808522,447.51251835411347,0
73,0,53,1,0,0,10614.035263755533,402.5283293404194,1
34,1,14,2,0,1,18536.247386645045,528.4963080245991,0
76,1,58,2,0,0,17589.18721492529,287.7661576879796,0
66,0,46,3,0,0,19160.88695359206,584.6840152590761,0
19,0,2,2,0,0,14233.48899614374,383.7302196964372,1
19,1,0,1,0,0,6195.56334462465,468.69855046043205,1
45,1,26,1,0,0,15053.77329311637,273.08763977921836,1
71,1,52,1,0,1,9141.012321453187,680.7757610119999,0
40,1,21,1,0,0,5000.0,565.8224381343005,1
54,0,36,2,0,0,13626.43229838725,508.5871767490829,1
49,1,29,3,0,0,15508.813739579935,431.1869056806878,0
50,1,31,1,1,0,22991.388338745564,393.42732646921854,1
18,1,2,1,0,0,8971.977212221465,479.9690694142091,1
36,0,17,1,0,1,18385.26502292235,530.2210964245239,1
79,0,59,1,0,1,7005.413196940129,477.01568182315606,0
19,0,0,1,1,1,21350.558369930633,553.0919761042965,1
70,0,52,0,0,0,11496.77084911026,685.5729480689331,0
61,1,44,1,0,0,13325.84381412121,392.6846719702001,1
43,0,26,0,0,1,13389.904250684705,523.6486058960015,1
49,1,29,0,0,1,18794.794472962676,674.1215807198114,1
23,1,6,2,0,1,7747.632952723942,468.92460518810316,1
49,1,32,0,0,1,14112.974078163243,486.09586854312056,1
72,1,56,0,0,0,11793.42812381402,546.1260053456592,1
21,0,1,0,0,1,25990.23925126389,567.6097289762735,1
72,0,52,0,0,0,9575.108223866397,604.9769949778754,0
28,0,11,2,0,1,5000.0,510.92778352115744,1
73,1,56,1,0,0,23472.97693516979,420.51439121059377,0
76,1,59,2,0,0,17456.695525568233,556.0762600878331,1
34,1,16,0,0,0,11063.125572087984,403.3085840028258,0
80,1,61,0,0,1,14838.948159827682,533.1957856128518,0
55,1,37,0,0,0,10995.030213174643,507.72511937558716,1
41,0,21,2,0,0,5215.011322983122,505.27395583014993,1
22,1,6,1,0,1,14178.627080562046,491.7702569268391,1
69,0,50,3,0,1,14142.8236926096,600.190515883163,1
51,1,35,1,1,1,16696.73505693261,561.8041112522365,0
23,1,3,1,0,1,10135.022531150233,569.456806058898,1
39,0,19,2,0,1,11126.364331462162,453.63517027695354,1
28,0,12,3,0,1,13117.167571999564,335.79212392745814,1
80,1,64,0,0,0,10095.764766898023,460.28763899866397,1
65,1,49,0,0,0,20683.81543952365,543.5755000181598,1
33,1,13,1,0,1,19245.61301200364,503.239764298754,1
50,1,33,1,0,1,12420.575511319506,456.72255651139955,1
26,0,10,3,0,0,17672.91814449369,522.1430917896068,1
77,1,58,1,0,0,8808.565325073136,473.28081192722766,0
76,0,56,0,0,0,12693.240087067534,504.879926793086,1
23,1,5,3,0,1,22317.890097578267,301.1194506306642,1
33,0,15,2,0,0,18229.371054176256,576.7143824637234,1
46,0,27,0,0,0,16445.41093090748,561.2823697013871,1
20,1,3,3,0,1,13207.261829429855,711.2249183516753,1
37,0,21,0,0,1,14790.310845927232,428.80658806752734,1
77,1,57,0,0,1,7658.059505682593,449.68068893087775,0
76,0,60,3,0,0,13383.063364784477,517.4263784921264,1
53,1,33,1,0,1,16880.155308500987,496.58913344319063,1
36,0,18,0,0,0,14867.893078590841,657.9866452413381,1
43,1,27,0,0,0,14867.926076714015,459.16687593659134,1
20,1,1,2,1,1,11728.016336246379,484.62764208475295,0
80,0,63,0,0,0,10461.262066210604,443.7783918182191,1
36,0,17,1,0,1,10003.873855968679,652.3623041920499,0
37,0,20,1,0,1,13740.599320672165,548.7196373276902,1
49,0,33,0,0,1,18671.21791643041,657.0885872178427,1
24,1,8,1,1,1,10707.331521289088,791.5063434862583,1
69,0,52,2,0,0,15203.805808674597,423.7185409309639,0
58,1,40,1,0,1,15077.396802871912,607.8193896097358,0
50,0,30,0,0,0,19650.649579725516,474.32623102724443,1
57,1,38,0,0,0,15066.909548934187,431.2358305780485,0
56,1,37,1,0,1,7560.753108842669,353.3717185675828,0
35,1,16,2,0,0,25624.386227400915,712.836644194708,0
57,1,41,0,0,1,19858.45363119072,600.2034914907263,1
18,0,0,0,0,1,17415.954604741553,477.4571386294949,1
28,0,8,1,0,1,12122.515978422705,562.1934515045499,1
45,1,25,1,0,0,13405.350135249877,319.10241248090836,1
74,0,57,0,0,1,7888.060810627689,490.56191492948534,1
42,0,26,2,0,1,13331.333693891198,423.80811016063416,1
67,1,47,0,0,0,15878.482498128711,644.5570519790169,0
40,0,22,2,0,1,14873.949547757768,651.2788708250017,0
48,0,32,1,1,1,23762.784138133,589.0451661362562,0
47,0,31,1,0,1,18354.93367754215,594.7363124946571,0
59,1,39,0,0,1,19868.013442741612,435.01324751650304,0
52,0,34,2,0,1,17700.8284805824,571.6954826589438,1
24,1,7,0,0,1,15813.194798800823,362.0616728878715,1
77,0,57,0,0,0,17274.06744440974,348.5836273420683,1
33,0,15,1,0,1,5079.374623344285,489.45188400975746,1
43,0,27,2,0,1,13698.153889280507,553.0196061104781,1
65,1,47,0,0,1,8011.153736502459,559.8135187164579,1
74,1,58,0,0,1,9100.259646762159,374.2978331260049,0
69,0,49,2,0,0,20968.113927125883,344.84279352870715,0
77,1,57,2,1,1,9617.290057125472,454.8452898378301,1
66,0,47,0,0,0,8381.716339650065,412.35888137214357,1
19,1,0,1,0,1,16947.897945640885,561.2017566546974,1
18,1,0,1,0,1,14656.604064030636,398.7137656682095,1
65,0,45,1,0,0,17231.322259822984,694.4302088044045,1
79,0,62,2,0,0,23779.526770546843,536.2360206344415,0
29,0,9,0,0,1,17863.793478085256,485.3073477525989,1
22,0,4,2,0,1,7246.950454243247,385.26710214455113,0
54,1,34,1,0,1,19664.48576622849,367.8871495734929,1
49,1,29,1,0,1,13900.379751658698,467.9082758268738,1
76,1,60,1,0,1,15839.726131899832,442.1159679917921,1
72,0,56,3,0,1,6732.947194704067,326.81713603171465,0
26,0,10,0,0,0,17516.257372637545,637.1632981528401,1
58,1,38,0,0,1,8492.626282570993,389.4780352607443,0
52,0,35,0,0,1,17671.24672067643,535.2613571041642,1
36,1,18,3,0,1,11385.675976748342,544.2205193626651,1
65,1,47,2,0,0,18610.82179328578,338.1155685523974,1
33,1,16,1,0,0,8524.72437297412,461.5284283415684,1
20,1,3,0,0,0,7196.158866516546,359.0366908911445,1
37,1,19,2,0,1,12293.058926464797,540.7598764780647,0
41,0,22,2,0,0,16331.598508977651,506.25168975360407,1
71,0,55,1,0,1,9274.210987267601,492.27176222731623,1
73,0,57,0,0,1,16019.153670263828,417.982770629925,1
50,1,32,0,0,1,19372.030947451953,618.1036727195848,1
41,1,24,1,0,1,8381.969837836346,462.2170821116547,1
69,1,50,2,0,1,16026.869982587848,352.26528796632834,0
28,1,10,0,0,1,17698.919834518394,405.5708029212471,1
66,0,50,1,0,1,14035.605586593812,299.2894445973411,1
25,0,5,0,0,0,14587.58119357068,434.5654189264871,1
53,1,36,2,0,0,7955.522324562025,409.0946161666179,1
55,1,35,1,0,0,17187.279755211715,569.4578264371582,1
57,1,39,0,0,1,15306.065360333738,557.2227544537122,1
37,0,21,1,0,0,15753.332488475855,521.2660550359666,1
79,0,60,0,0,1,25323.37325292379,594.7120897969163,0
52,0,32,0,0,0,13966.67211903652,382.1596862965441,1
65,1,46,2,0,0,16613.270265107156,531.8320188336219,1
79,1,63,0,0,1,21440.560719283774,356.19968285439825,0
42,0,22,0,0,0,14758.530224799279,452.31546393828273,1
52,1,33,0,0,1,11417.113110319122,534.1185218491302,1
42,0,23,0,0,0,16991.892096936983,446.8236552341451,1
46,1,26,0,0,0,11574.963426451233,663.3253821205603,1
35,0,19,0,0,0,20996.701111451854,465.1964140276725,1
63,1,44,1,0,1,17573.596245277473,580.0788457081724,1
35,0,17,0,0,1,10694.693321124432,473.54716768635757,1
19,0,0,2,0,0,8764.11019880644,513.1667016610318,0
71,0,54,0,0,0,15781.743499502407,463.49686521664665,1
52,0,35,0,0,1,16277.491719025229,517.7145482342816,0
33,0,17,0,1,0,8776.250927859735,672.6647954708383,1
78,0,60,2,1,0,18928.720239797825,654.3157743577078,0
58,1,39,1,0,1,18326.252816512708,451.283127467566,0
53,1,36,2,0,0,16707.814069876436,477.0994669002488,1
50,1,34,0,0,0,18789.039614547473,505.08391329680603,1
21,0,3,2,0,1,10051.432110402908,564.2087049075077,0
50,0,32,0,0,1,10342.82354944937,685.4485352035838,1
31,1,15,0,0,1,13701.354413044584,628.594271870788,1
38,0,22,1,0,1,11827.787052840951,473.32426616119204,1
65,0,46,0,0,0,17510.80126013163,540.300780238181,1
37,0,21,3,0,1,19027.58208756103,522.5723137651703,0
73,0,54,0,0,1,11482.563921681569,439.4233442192686,0
25,0,6,3,1,0,10660.97994361027,601.3544314153125,1
24,1,4,1,0,1,19273.989575203803,248.59827241188336,1
20,1,2,1,0,1,10090.05210078504,600.6129359155047,1
34,1,16,0,1,0,13572.215592468634,541.1868597791064,1
50,1,32,0,0,1,9950.597468106262,319.3541169833835,1
65,1,45,3,0,1,12040.706974937411,395.82315430261303,1
29,0,10,0,1,0,7468.097924695877,293.4116876109032,1
76,0,57,1,0,1,21410.8757980853,669.6776196266566,1
68,0,52,3,0,1,20061.54423695239,400.83575198060464,0
39,0,19,0,0,0,10964.815710743937,591.0196789758407,1
72,1,56,1,0,0,17315.298780646273,594.5883308955223,1
39,1,19,1,0,1,7821.409829446992,487.9329155485416,0
63,1,47,0,0,1,18108.79061839147,433.5428005447206,1
47,0,30,0,0,1,10579.874509102905,551.2765410681056,1
55,1,37,1,0,0,21087.881556788623,521.5425858583717,0
55,0,37,0,0,1,17554.807287256637,593.6237701429884,0
62,1,43,2,0,1,13172.252066665944,382.66939708111624,0
68,1,51,0,0,0,12959.016632348896,602.2432302436312,1
71,0,53,3,0,1,15722.428356205239,634.7680221679517,0
25,0,6,0,0,1,10380.394614036759,474.3231957113425,1
44,1,27,1,0,1,20624.547214614187,404.40159472246137,0
44,1,26,1,0,0,16529.91276078932,451.67145895666897,0
51,0,35,0,1,0,19821.8136518089,435.98698195966045,1
38,1,18,0,0,1,5000.0,481.9164174228219,1
47,1,30,2,0,1,15080.39459423142,426.1868310193438,0
50,0,31,2,0,0,16240.323036843953,545.6507844315357,1
45,1,28,0,0,1,14982.702097198644,563.6691376509575,1
64,0,45,1,0,0,15112.510887799908,464.09989476887483,0
50,1,33,0,0,0,13394.337625052745,304.55232951312644,1
22,0,3,0,0,0,26286.841274631137,544.3026073109993,0
77,1,59,1,0,0,16216.289461894426,352.4873482714863,0
78,0,62,2,0,0,15612.368001721105,524.9588631720139,0
65,1,47,0,0,1,19682.858630028022,507.1868059691549,1
36,0,20,3,1,0,12204.741437839875,467.1029881881293,1
21,1,3,0,0,1,8561.085761536877,564.4832564250836,0
